period_um,top_width_um,bottom_width_um,depth_um,tilt_angle_deg,wavelength_um,reflectance,transmittance,absorptance,emissivity_proxy
10.0,4.0,4.0,3.0,0.0,14.516129032258068,0.9599402413045484,7.97482263272233e-06,0.04005178387281892,0.04005178387281892
10.0,4.0,4.0,3.0,0.0,14.754098360655739,0.9880654397228176,2.3428861381225245e-05,0.011911131415801201,0.011911131415801201
10.0,4.0,4.0,3.0,0.0,15.000000000000004,1.0065204273872714,4.796129198727847e-05,-0.006568388679258711,-0.006568388679258711
10.0,4.0,4.0,3.0,10.0,5.0,0.8070097823714976,-1.6490546035047276e-05,0.1930067081745375,0.1930067081745375
10.0,4.0,4.0,3.0,10.0,5.027932960893855,0.8178347894897983,-1.2160632187274544e-05,0.18217737114238902,0.18217737114238902
10.0,4.0,4.0,3.0,10.0,5.056179775280899,0.8227052888099897,-9.020446008273106e-06,0.17730373163601856,0.17730373163601856
10.0,4.0,4.0,3.0,10.0,5.084745762711864,0.8216277671177086,-6.729882871521015e-06,0.17837896276516294,0.17837896276516294
10.0,4.0,4.0,3.0,10.0,5.113636363636363,0.8160608238907077,-5.049384938076489e-06,0.18394422549423042,0.18394422549423042
10.0,4.0,4.0,3.0,10.0,5.142857142857142,0.8082550970108785,-3.80929768090559e-06,0.1917487122868024,0.1917487122868024
10.0,4.0,4.0,3.0,10.0,5.1724137931034475,0.8005570540594554,-2.8888548271929127e-06,0.19944583479537176,0.19944583479537176
10.0,4.0,4.0,3.0,10.0,5.202312138728323,0.7948420569002778,-2.2016791950237746e-06,0.20516014477891725,0.20516014477891725
10.0,4.0,4.0,3.0,10.0,5.232558139534883,0.7921743883757268,-1.6857125720633795e-06,0.2078272973368452,0.2078272973368452
10.0,4.0,4.0,3.0,10.0,5.2631578947368425,0.7927198691120528,-1.2961730992883416e-06,0.20728142706104646,0.20728142706104646
10.0,4.0,4.0,3.0,10.0,5.294117647058823,0.7958763548445282,-1.0005968611673508e-06,0.20412464575233294,0.20412464575233294
10.0,4.0,4.0,3.0,10.0,5.325443786982248,0.8005483883808329,-7.753266094884093e-07,0.19945238694577663,0.19945238694577663
10.0,4.0,4.0,3.0,10.0,5.357142857142857,0.8054775040931731,-6.030148858578323e-07,0.19452309892171277,0.19452309892171277
10.0,4.0,4.0,3.0,10.0,5.389221556886228,0.8095465146702375,-4.7084496670321667e-07,0.19045395617472918,0.19045395617472918
10.0,4.0,4.0,3.0,10.0,5.421686746987951,0.8119982614860406,-3.6926381332836045e-07,0.18800210777777274,0.18800210777777274
10.0,4.0,4.0,3.0,10.0,5.454545454545454,0.8125389414069163,-2.9108197368271824e-07,0.1874613496750574,0.1874613496750574
10.0,4.0,4.0,3.0,10.0,5.48780487804878,0.8113257144719179,-2.308365206716047e-07,0.18867451636460275,0.18867451636460275
10.0,4.0,4.0,3.0,10.0,5.521472392638037,0.808862005618171,-1.843415214763936e-07,0.19113817872335045,0.19113817872335045
10.0,4.0,4.0,3.0,10.0,5.555555555555555,0.8058382963598026,-1.483707135876835e-07,0.19416185201091093,0.19416185201091093
10.0,4.0,4.0,3.0,10.0,5.590062111801242,0.8029603299012249,-1.204318732783368e-07,0.19703979053064838,0.19703979053064838
10.0,4.0,4.0,3.0,10.0,5.625,0.8008017395221902,-9.860355503070874e-08,0.1991983590813648,0.1991983590813648
10.0,4.0,4.0,3.0,10.0,5.660377358490566,0.7997068347281642,-8.141349551947441e-08,0.20029324668533136,0.20029324668533136
10.0,4.0,4.0,3.0,10.0,5.696202531645569,0.7997549921447594,-6.774461603711309e-08,0.2002450755998566,0.2002450755998566
10.0,4.0,4.0,3.0,10.0,5.732484076433121,0.8007840698545561,-5.675958195812663e-08,0.19921598690502587,0.19921598690502587
10.0,4.0,4.0,3.0,10.0,5.769230769230769,0.8024591074205718,-4.783852965391303e-08,0.19754094041795786,0.19754094041795786
10.0,4.0,4.0,3.0,10.0,5.806451612903226,0.8043658953012446,-4.052705264667994e-08,0.19563414522580808,0.19563414522580808
10.0,4.0,4.0,3.0,10.0,5.8441558441558445,0.8061072939185404,-3.449305035071134e-08,0.19389274057450995,0.19389274057450995
10.0,4.0,4.0,3.0,10.0,5.88235294117647,0.8073829542356911,-2.9491795095799778e-08,0.19261707525610403,0.19261707525610403
